tester,platform,rdbms,testid,result
Guohui Xiao,Ontop,postgresql,R2RMLTC0000,passed
Guohui Xiao,Ontop,postgresql,R2RMLTC0001a,passed
Guohui Xiao,Ontop,postgresql,R2RMLTC0001b,passed
Guohui Xiao,Ontop,postgresql,R2RMLTC0002a,passed
Guohui Xiao,Ontop,postgresql,R2RMLTC0002b,passed
Guohui Xiao,Ontop,postgresql,R2RMLTC0002c,passed
Guohui Xiao,Ontop,postgresql,R2RMLTC0002d,passed
Guohui Xiao,Ontop,postgresql,R2RMLTC0002e,passed
Guohui Xiao,Ontop,postgresql,R2RMLTC0002f,passed
Guohui Xiao,Ontop,postgresql,R2RMLTC0002g,passed
Guohui Xiao,Ontop,postgresql,R2RMLTC0002h,passed
Guohui Xiao,Ontop,postgresql,R2RMLTC0002i,passed
Guohui Xiao,Ontop,postgresql,R2RMLTC0002j,passed
Guohui Xiao,Ontop,postgresql,R2RMLTC0003b,passed
Guohui Xiao,Ontop,postgresql,R2RMLTC0003c,passed
Guohui Xiao,Ontop,postgresql,R2RMLTC0004a,passed
Guohui Xiao,Ontop,postgresql,R2RMLTC0004b,passed
Guohui Xiao,Ontop,postgresql,R2RMLTC0005a,passed
Guohui Xiao,Ontop,postgresql,R2RMLTC0005b,passed
Guohui Xiao,Ontop,postgresql,R2RMLTC0006a,passed
Guohui Xiao,Ontop,postgresql,R2RMLTC0007a,passed
Guohui Xiao,Ontop,postgresql,R2RMLTC0007b,passed
Guohui Xiao,Ontop,postgresql,R2RMLTC0007c,passed
Guohui Xiao,Ontop,postgresql,R2RMLTC0007d,passed
Guohui Xiao,Ontop,postgresql,R2RMLTC0007e,passed
Guohui Xiao,Ontop,postgresql,R2RMLTC0007f,passed
Guohui Xiao,Ontop,postgresql,R2RMLTC0007g,passed
Guohui Xiao,Ontop,postgresql,R2RMLTC0007h,passed
Guohui Xiao,Ontop,postgresql,R2RMLTC0008a,passed
Guohui Xiao,Ontop,postgresql,R2RMLTC0008b,passed
Guohui Xiao,Ontop,postgresql,R2RMLTC0008c,passed
Guohui Xiao,Ontop,postgresql,R2RMLTC0009a,passed
Guohui Xiao,Ontop,postgresql,R2RMLTC0009b,passed
Guohui Xiao,Ontop,postgresql,R2RMLTC0009c,passed
Guohui Xiao,Ontop,postgresql,R2RMLTC0009d,failed
Guohui Xiao,Ontop,postgresql,R2RMLTC0010a,passed
Guohui Xiao,Ontop,postgresql,R2RMLTC0010b,passed
Guohui Xiao,Ontop,postgresql,R2RMLTC0010c,passed
Guohui Xiao,Ontop,postgresql,R2RMLTC0011a,passed
Guohui Xiao,Ontop,postgresql,R2RMLTC0011b,passed
Guohui Xiao,Ontop,postgresql,R2RMLTC0012a,passed
Guohui Xiao,Ontop,postgresql,R2RMLTC0012b,passed
Guohui Xiao,Ontop,postgresql,R2RMLTC0012c,passed
Guohui Xiao,Ontop,postgresql,R2RMLTC0012d,passed
Guohui Xiao,Ontop,postgresql,R2RMLTC0012e,passed
Guohui Xiao,Ontop,postgresql,R2RMLTC0013a,passed
Guohui Xiao,Ontop,postgresql,R2RMLTC0014a,passed
Guohui Xiao,Ontop,postgresql,R2RMLTC0014b,passed
Guohui Xiao,Ontop,postgresql,R2RMLTC0014c,passed
Guohui Xiao,Ontop,postgresql,R2RMLTC0014d,passed
Guohui Xiao,Ontop,postgresql,R2RMLTC0015a,passed
Guohui Xiao,Ontop,postgresql,R2RMLTC0015b,passed
Guohui Xiao,Ontop,postgresql,R2RMLTC0016a,passed
Guohui Xiao,Ontop,postgresql,R2RMLTC0016b,passed
Guohui Xiao,Ontop,postgresql,R2RMLTC0016c,passed
Guohui Xiao,Ontop,postgresql,R2RMLTC0016d,passed
Guohui Xiao,Ontop,postgresql,R2RMLTC0016e,failed
Guohui Xiao,Ontop,postgresql,R2RMLTC0018a,passed
Guohui Xiao,Ontop,postgresql,R2RMLTC0019a,failed
Guohui Xiao,Ontop,postgresql,R2RMLTC0019b,passed
Guohui Xiao,Ontop,postgresql,R2RMLTC0020a,passed
Guohui Xiao,Ontop,postgresql,R2RMLTC0020b,passed
